Farmer_ID,Farm_Size_ha,Land_Tenure_Type,Farmer_Age,Education_Level,Gender,Potential_Carbon_Credits_tCO2e,Standalone_Payoff_INR,True_Cost_per_Credit_INR,Certification_Cost_Individual_INR,Debt_Status,Water_Usage_m3,Soil_Organic_Carbon_t_per_ha,Crop_Type,Crop_Yield_t_per_ha,Market_Access,Economic_Vulnerability_Score,Previous_Coalition_Experience,Farm_Location_State,Farm_Location_District,Risk_Aversion_Coeff
F00160,4.91,Owned,41,Higher,Male,6.96,21700.0,2000.0,6700.0,Yes,2417.86,2.53,Millets,7.03,Easy,51.24,No,Karnataka,6,1.61
F00161,7.61,Owned,22,Primary,Male,4.71,16300.0,1900.0,5800.0,No,91.36,1.13,Wheat,7.22,Easy,17.05,Yes,Telangana,3,1.58
F00162,3.9,Owned,67,None,Male,1.13,7800.0,2700.0,7800.0,No,6933.4,2.46,Maize,3.25,Moderate,33.9,No,Andhra Pradesh,17,4.53
F00163,0.97,Owned,62,Primary,Male,2.69,13800.0,3600.0,6700.0,No,1459.16,2.73,Cotton,4.55,Moderate,11.51,No,Kerala,30,1.45
F00164,1.53,Owned,26,Secondary,Male,2.59,19700.0,800.0,6100.0,No,2026.66,0.85,Wheat,4.6,Easy,66.0,Yes,Tamil Nadu,37,3.33
F00165,2.88,Leased,69,Primary,Male,10.73,33300.0,1500.0,6700.0,No,2350.69,2.67,Rice,4.72,Difficult,39.66,No,Andhra Pradesh,14,0.35
F00166,4.75,Leased,38,Primary,Male,3.14,21100.0,3100.0,5000.0,No,1493.39,1.61,Sugarcane,6.16,Easy,6.12,No,Tamil Nadu,40,3.35
F00167,1.74,Owned,47,Primary,Female,1.11,21800.0,1200.0,8800.0,Yes,9732.45,2.91,Rice,6.15,Moderate,8.12,Yes,Telangana,17,1.2
F00168,1.02,Leased,64,Primary,Male,12.84,21700.0,4100.0,5500.0,No,5421.78,2.3,Sugarcane,5.55,Easy,35.22,Yes,Andhra Pradesh,1,1.18
F00169,0.57,Owned,62,Secondary,Male,4.19,19200.0,3900.0,5700.0,No,7504.88,2.96,Cotton,5.79,Moderate,24.26,No,Andhra Pradesh,14,3.05
F00170,8.43,Leased,22,Primary,Female,1.38,13500.0,3300.0,8900.0,No,3723.08,1.3,Maize,7.42,Difficult,30.15,Yes,Telangana,15,0.52
F00171,1.01,Owned,49,Secondary,Male,1.7,12700.0,3400.0,8300.0,Yes,1988.02,2.92,Rice,4.07,Moderate,37.99,No,Tamil Nadu,5,3.69
F00172,4.87,Owned,66,None,Female,8.24,15400.0,2200.0,9000.0,No,2465.13,0.95,Wheat,1.89,Moderate,23.14,Yes,Telangana,14,0.95
F00173,0.92,Leased,50,Primary,Male,1.28,19900.0,2900.0,6000.0,Yes,524.03,2.47,Sugarcane,3.77,Moderate,38.35,Yes,Andhra Pradesh,33,4.08
F00174,8.88,Owned,25,None,Male,6.5,27600.0,2100.0,4800.0,Yes,6497.82,2.82,Rice,5.59,Difficult,15.55,No,Telangana,36,0.53
F00175,3.35,Owned,43,Primary,Male,2.93,17200.0,4300.0,4900.0,No,1520.16,0.57,Sugarcane,5.02,Moderate,6.35,No,Tamil Nadu,3,4.0
F00176,6.78,Owned,20,Secondary,Male,3.47,13700.0,1800.0,8200.0,Yes,2089.68,2.12,Millets,4.95,Easy,39.83,Yes,Andhra Pradesh,29,2.73
F00177,1.76,Owned,43,Primary,Female,3.48,15600.0,2000.0,4100.0,Yes,3415.09,1.54,Millets,4.47,Moderate,31.23,No,Andhra Pradesh,20,0.77
F00178,0.77,Owned,36,None,Male,5.02,21500.0,2100.0,6100.0,Yes,6300.37,1.52,Sugarcane,5.8,Moderate,6.36,No,Tamil Nadu,11,3.96
F00179,3.78,Owned,34,None,Male,3.71,19500.0,6000.0,6700.0,Yes,1437.93,1.78,Rice,3.91,Moderate,31.64,No,Andhra Pradesh,12,1.82
F00180,1.9,Owned,46,Primary,Male,7.4,18600.0,2100.0,7900.0,Yes,3133.77,0.88,Maize,4.11,Moderate,12.11,Yes,Telangana,47,3.36
F00181,2.51,Owned,42,Primary,Female,3.42,20900.0,6400.0,5100.0,Yes,5343.98,0.86,Cotton,5.62,Easy,25.18,No,Andhra Pradesh,16,1.49
F00182,1.88,Mixed,61,None,Female,5.03,22500.0,1800.0,7400.0,Yes,15349.45,0.73,Sugarcane,2.72,Easy,20.58,Yes,Telangana,48,2.07
F00183,3.68,Owned,31,Secondary,Male,6.23,15500.0,2200.0,5800.0,Yes,11334.43,2.46,Sugarcane,5.65,Moderate,44.09,No,Tamil Nadu,1,1.27
F00184,4.52,Owned,29,Secondary,Male,7.98,31300.0,4000.0,7400.0,Yes,3977.07,2.71,Sugarcane,6.71,Moderate,31.75,Yes,Andhra Pradesh,7,0.74
F00185,1.48,Owned,60,Secondary,Male,6.46,8300.0,2300.0,6000.0,Yes,1073.94,1.77,Maize,5.96,Difficult,33.83,No,Telangana,33,2.21
F00186,0.33,Owned,66,None,Female,6.87,28500.0,1700.0,7200.0,No,6431.64,2.55,Maize,5.07,Moderate,15.69,No,Tamil Nadu,48,2.46
F00187,1.59,Leased,34,Primary,Male,3.83,22500.0,7600.0,6800.0,No,5650.53,1.06,Millets,5.42,Difficult,20.9,No,Kerala,17,3.86
F00188,3.03,Leased,46,None,Male,5.66,20700.0,1500.0,7800.0,Yes,3899.19,2.69,Cotton,3.18,Difficult,32.19,Yes,Andhra Pradesh,14,3.05
F00189,3.63,Owned,57,Higher,Male,3.29,20000.0,9000.0,7600.0,Yes,8936.96,0.85,Rice,3.1,Moderate,6.14,No,Telangana,24,1.69
F00190,2.08,Mixed,58,Higher,Female,1.42,12800.0,2300.0,6000.0,No,2126.64,2.84,Maize,3.94,Moderate,32.0,Yes,Tamil Nadu,24,1.52
F00191,0.83,Owned,64,None,Female,6.45,21400.0,2000.0,6400.0,Yes,3064.31,2.38,Sugarcane,4.22,Moderate,47.02,No,Andhra Pradesh,27,2.48
F00192,2.28,Owned,61,Higher,Male,1.89,19500.0,3600.0,5000.0,Yes,4348.66,2.53,Cotton,2.57,Moderate,5.72,No,Kerala,8,0.49
F00193,1.63,Owned,21,Primary,Female,1.72,16200.0,2900.0,7500.0,No,1493.1,2.68,Maize,1.98,Moderate,62.11,No,Tamil Nadu,19,2.51
F00194,2.37,Mixed,74,None,Male,1.62,27900.0,3200.0,4500.0,No,2233.04,0.51,Sugarcane,5.41,Moderate,30.21,Yes,Tamil Nadu,33,1.88
F00195,0.71,Owned,26,Secondary,Female,2.73,17800.0,4900.0,8900.0,No,3358.84,0.63,Maize,4.05,Easy,44.08,No,Kerala,2,2.29
F00196,5.23,Leased,46,Secondary,Male,3.64,20800.0,2000.0,7200.0,Yes,6719.49,2.49,Wheat,2.99,Moderate,40.83,Yes,Karnataka,44,2.59
F00197,4.25,Owned,22,None,Female,1.34,25900.0,7900.0,4100.0,Yes,3766.51,0.97,Rice,7.19,Easy,11.58,Yes,Andhra Pradesh,26,4.11
F00198,1.83,Owned,57,Secondary,Female,1.28,22700.0,2100.0,6700.0,No,4865.06,2.98,Millets,3.26,Moderate,55.9,No,Karnataka,7,2.13
F00199,3.64,Owned,46,Secondary,Male,2.91,17000.0,4500.0,8300.0,No,7221.19,2.0,Millets,6.47,Moderate,67.32,No,Karnataka,2,3.29
F00200,4.38,Leased,62,Secondary,Male,3.62,23900.0,2800.0,4700.0,No,3142.83,0.78,Rice,5.53,Moderate,58.0,No,Tamil Nadu,46,2.06
F00201,3.16,Owned,37,None,Male,2.59,24000.0,5700.0,8300.0,No,6753.95,0.76,Sugarcane,7.36,Moderate,18.73,Yes,Karnataka,24,2.11
F00202,0.61,Owned,35,Primary,Male,8.49,23600.0,1300.0,7800.0,No,1439.93,0.77,Sugarcane,5.05,Moderate,3.38,No,Telangana,20,0.97
F00203,4.22,Mixed,43,Primary,Female,1.33,20700.0,2600.0,4200.0,No,6070.85,1.56,Rice,5.34,Moderate,55.16,No,Andhra Pradesh,24,4.58
F00204,8.0,Mixed,64,Secondary,Male,2.52,25000.0,5300.0,8900.0,Yes,4524.63,2.98,Maize,5.25,Moderate,18.75,No,Karnataka,19,2.72
F00205,5.51,Owned,26,Higher,Male,5.52,17600.0,3200.0,6300.0,Yes,2028.94,1.07,Rice,5.17,Easy,40.51,Yes,Tamil Nadu,11,0.59
F00206,1.41,Leased,36,Primary,Male,3.81,21100.0,2700.0,8100.0,Yes,6530.95,1.59,Wheat,3.1,Moderate,9.55,No,Karnataka,17,2.36
F00207,5.42,Leased,47,Primary,Male,3.12,21600.0,4700.0,6300.0,No,2014.15,1.48,Sugarcane,3.65,Moderate,28.03,No,Tamil Nadu,16,1.64
F00208,4.69,Owned,29,Primary,Male,2.71,29900.0,3500.0,8700.0,Yes,305.3,1.3,Millets,2.94,Difficult,9.73,Yes,Telangana,26,1.34
F00209,2.25,Owned,26,Primary,Female,4.64,29200.0,5800.0,7000.0,No,3619.3,1.85,Sugarcane,4.76,Moderate,7.46,No,Karnataka,14,2.3
F00210,6.66,Owned,62,Secondary,Female,5.57,26200.0,2400.0,4800.0,No,3464.46,1.84,Wheat,4.21,Moderate,15.35,No,Telangana,33,1.63
F00211,3.95,Leased,25,None,Female,2.3,25000.0,1500.0,8300.0,No,2641.59,1.23,Maize,6.79,Moderate,5.53,No,Andhra Pradesh,12,0.91
F00212,7.34,Leased,49,None,Male,4.59,20100.0,1100.0,5200.0,Yes,1773.23,1.95,Rice,3.58,Moderate,33.38,No,Tamil Nadu,7,2.58
F00213,0.42,Mixed,40,Secondary,Male,7.35,24000.0,800.0,6700.0,No,5426.85,1.07,Maize,1.51,Easy,42.73,No,Telangana,46,1.48
F00214,0.94,Mixed,61,Primary,Male,5.61,23700.0,4000.0,4600.0,Yes,1183.53,0.86,Sugarcane,6.66,Easy,8.78,No,Karnataka,23,0.85
F00215,1.69,Owned,63,Primary,Female,7.25,17300.0,2700.0,5100.0,No,1610.19,1.56,Sugarcane,4.49,Moderate,8.97,No,Karnataka,20,1.42
F00216,3.36,Mixed,57,Primary,Male,7.76,22900.0,2900.0,6700.0,Yes,3741.09,2.35,Millets,6.31,Moderate,66.23,No,Karnataka,19,1.43
F00217,3.28,Owned,42,Secondary,Male,3.91,14800.0,2900.0,9000.0,Yes,3289.87,2.76,Wheat,3.88,Easy,15.58,Yes,Telangana,30,1.17
F00218,2.98,Owned,52,Primary,Male,4.09,21800.0,1800.0,7100.0,Yes,1105.78,1.22,Rice,4.57,Moderate,5.48,Yes,Kerala,38,1.99
F00219,4.0,Leased,55,Primary,Male,1.05,16900.0,3400.0,7600.0,No,3593.86,0.99,Sugarcane,4.88,Moderate,26.94,No,Karnataka,19,3.09
F00220,2.64,Owned,22,Higher,Female,6.4,22300.0,2700.0,8600.0,Yes,2602.76,2.55,Rice,5.01,Difficult,17.48,No,Tamil Nadu,49,2.62
F00221,3.54,Owned,56,Secondary,Male,4.66,30900.0,2400.0,4700.0,Yes,1278.08,0.77,Rice,4.95,Moderate,39.19,No,Telangana,13,3.23
F00222,3.14,Owned,39,Primary,Female,5.5,28900.0,4800.0,4300.0,No,2674.9,2.85,Rice,4.21,Moderate,36.14,No,Karnataka,16,1.97
F00223,2.41,Leased,44,None,Male,9.89,20700.0,6300.0,7200.0,Yes,5833.32,2.33,Cotton,5.08,Easy,65.95,No,Telangana,29,2.72
F00224,2.05,Leased,62,Secondary,Male,13.08,23200.0,3600.0,7300.0,Yes,1703.45,1.62,Maize,4.37,Moderate,12.9,Yes,Andhra Pradesh,38,1.36
F00225,1.45,Leased,24,Primary,Male,5.74,13100.0,1400.0,7100.0,Yes,3455.79,1.13,Millets,6.21,Easy,18.75,Yes,Telangana,38,2.92
F00226,0.49,Leased,57,Primary,Female,4.37,23400.0,1600.0,7800.0,No,2128.81,2.72,Maize,3.85,Moderate,23.81,Yes,Andhra Pradesh,47,2.21
F00227,1.86,Owned,27,Secondary,Female,3.0,11100.0,4900.0,8800.0,No,5581.36,2.23,Cotton,4.01,Easy,8.34,No,Karnataka,20,2.28
F00228,9.54,Leased,54,Primary,Male,2.79,20500.0,1600.0,8900.0,No,5899.54,1.43,Maize,6.52,Difficult,18.77,No,Kerala,13,0.69
F00229,1.5,Owned,35,Secondary,Male,2.49,11100.0,2700.0,4300.0,No,3402.17,2.13,Rice,4.38,Moderate,43.53,Yes,Telangana,25,2.37
F00230,5.31,Leased,68,None,Female,9.88,27100.0,3900.0,5200.0,No,3874.11,1.27,Maize,3.97,Moderate,43.78,Yes,Telangana,45,2.13
F00231,4.32,Owned,28,None,Male,4.15,16900.0,3200.0,4400.0,Yes,2226.86,1.08,Wheat,5.33,Easy,36.18,No,Tamil Nadu,32,2.58
F00232,4.16,Owned,42,Primary,Male,1.33,20900.0,4800.0,8400.0,No,3208.66,2.1,Cotton,6.19,Difficult,27.03,No,Andhra Pradesh,43,1.67
F00233,1.25,Owned,37,Secondary,Male,5.1,13100.0,1500.0,6900.0,No,652.13,1.5,Millets,3.71,Moderate,20.39,No,Telangana,49,3.75
F00234,2.21,Owned,25,Higher,Male,4.14,15000.0,5000.0,8700.0,Yes,6105.84,1.28,Rice,3.48,Moderate,11.13,No,Tamil Nadu,14,1.42
F00235,2.44,Owned,33,None,Female,1.08,19900.0,3000.0,5300.0,No,865.28,1.56,Sugarcane,4.97,Moderate,33.32,No,Telangana,24,2.08
F00236,2.18,Owned,49,None,Male,3.28,18900.0,3900.0,5700.0,Yes,1112.49,1.57,Maize,5.29,Easy,20.91,No,Telangana,46,1.7
F00237,3.08,Leased,67,Primary,Male,5.34,9400.0,2600.0,4200.0,Yes,3616.55,2.81,Rice,4.49,Difficult,53.83,Yes,Karnataka,36,3.69
F00238,2.44,Owned,71,Primary,Female,5.9,25300.0,2100.0,6500.0,Yes,2172.77,2.16,Cotton,2.5,Moderate,22.09,No,Tamil Nadu,43,3.29
F00239,1.79,Owned,52,Higher,Male,1.54,12900.0,1700.0,5300.0,Yes,7320.06,2.36,Sugarcane,6.58,Difficult,16.36,Yes,Karnataka,11,3.1
F00240,1.54,Owned,47,Primary,Male,3.93,15900.0,3600.0,6900.0,Yes,2684.76,0.68,Wheat,5.87,Easy,7.96,No,Andhra Pradesh,34,1.28
F00241,3.53,Owned,33,Primary,Female,1.43,17200.0,2800.0,6500.0,No,5207.96,0.69,Maize,3.93,Moderate,14.73,No,Karnataka,39,0.68
F00242,4.2,Mixed,65,Primary,Male,5.21,20000.0,4100.0,7600.0,No,2005.23,0.69,Wheat,6.83,Easy,10.8,Yes,Karnataka,29,2.04
F00243,3.27,Owned,25,Secondary,Male,6.1,11100.0,1800.0,7700.0,No,3722.7,1.85,Rice,4.99,Moderate,33.01,Yes,Karnataka,34,1.81
F00244,7.1,Mixed,49,Secondary,Male,0.99,16200.0,3600.0,7300.0,Yes,1978.8,1.5,Wheat,2.71,Moderate,41.51,No,Tamil Nadu,21,3.98
F00245,3.29,Leased,68,Primary,Male,7.57,25400.0,3300.0,7100.0,No,2977.11,1.48,Maize,1.53,Moderate,47.22,No,Karnataka,13,3.06
F00246,3.83,Owned,57,Secondary,Male,5.21,20400.0,4600.0,8200.0,No,4707.26,0.57,Rice,3.26,Easy,15.07,Yes,Karnataka,38,2.56
F00247,3.79,Leased,53,Secondary,Male,4.16,25100.0,1500.0,6500.0,No,3469.46,1.02,Rice,4.07,Difficult,11.31,No,Telangana,44,2.86
F00248,2.39,Owned,50,Secondary,Female,8.05,16600.0,4500.0,5900.0,Yes,4027.3,2.3,Millets,2.84,Moderate,65.64,No,Tamil Nadu,3,2.93
F00249,3.49,Leased,51,Secondary,Male,7.84,20600.0,1400.0,7200.0,No,2953.47,1.74,Millets,5.16,Difficult,5.75,Yes,Karnataka,2,1.9
F00250,6.81,Owned,70,Primary,Male,1.89,23900.0,3700.0,7300.0,No,2465.27,2.88,Rice,3.51,Easy,23.06,Yes,Kerala,49,1.15
